varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30660	CONTINUOUS	36079	0.516499344690244	0.502589326022293	0.530409363358196	0	LINEAR	Direct bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30840	CONTINUOUS	45743	0.653176212830074	0.641213393614446	0.665139032045703	0	LINEAR	Total bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
130818	DATE	48160/74(48234)	2.31928823516506	1.91189285665563	2.76550701554592	1.03991088113667e-26	LOGISTIC-BINARY	Date E80 first reported (disorders of porphyrin and bilirubin metabolism)		2404	Health-related outcomes		First occurrences		First occurrences	2404	Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases
30690	CONTINUOUS	45977	-0.0335909530675523	-0.0473198489203752	-0.0198620572147295	1.62666284069528e-06	LINEAR	Cholesterol		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
41273#687	CAT-MUL	48087/147(48234)	-0.633952896425291	-0.933711812126186	-0.350756516137219	1.94711710711209e-05	LOGISTIC-BINARY	Operative procedures - OPCS3: 687 Bilateral endoscopic occlusion of oviducts		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41256#687	CAT-MUL	48098/136(48234)	-0.625926234000577	-0.936835354431131	-0.332761430508055	4.70183805985731e-05	LOGISTIC-BINARY	Operative procedures - main OPCS3: 687 Bilateral endoscopic occlusion of oviducts		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
30640	CONTINUOUS	45688	-0.026868758022531	-0.040790708165331	-0.0129468078797311	0.00015530569705156	LINEAR	Apolipoprotein B		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30780	CONTINUOUS	45880	-0.0243531378428064	-0.0382017155106609	-0.010504560174952	0.000567889591670922	LINEAR	LDL direct		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
20548#6	CAT-MUL	10050/597(10647)	-0.231609134232015	-0.364821028985655	-0.100794471197197	0.000581959329231468	LOGISTIC-BINARY	Manifestations of mania or irritability: I was more creative or had more ideas than usual		100089	Online follow-up	136	Mental health	139	Mania	139	Online follow-up > Mental health > Mania
41210#Y818	CAT-MUL	48140/94(48234)	0.506646871613512	0.214694242214462	0.794939419294144	0.00060616390662983	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: Y81.8 Other specified spinal anaesthetic		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
