varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30660	CONTINUOUS	36079	1.08760876668106	1.0590680511114	1.11614948225071	0	LINEAR	Direct bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30840	CONTINUOUS	45743	1.3593539331846	1.33288223296955	1.38582563339964	0	LINEAR	Total bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
130818	DATE	48160/74(48234)	3.33547961540808	2.82355104348303	3.89571176419685	1.26716865470942e-34	LOGISTIC-BINARY	Date E80 first reported (disorders of porphyrin and bilirubin metabolism)		2404	Health-related outcomes		First occurrences		First occurrences	2404	Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases
30690	CONTINUOUS	45977	-0.0699758867076654	-0.100014506852205	-0.0399372665631258	4.98604653529493e-06	LINEAR	Cholesterol		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
41272#Q145	CAT-MUL	48153/81(48234)	1.13831357625996	0.600242749866605	1.63468119311802	1.44199017356071e-05	LOGISTIC-BINARY	Operative procedures - OPCS4: Q14.5 Insertion of prostaglandin pessary		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#Q145	CAT-MUL	48162/72(48234)	1.16126941564301	0.591583419288258	1.68493595412576	2.80195555348287e-05	LOGISTIC-BINARY	Operative procedures - main OPCS4: Q14.5 Insertion of prostaglandin pessary		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
22128	CAT-SIN	7568/96(7664)	0.964033224333883	0.434491835886652	1.44854635235776	0.000179212587724083	LOGISTIC-BINARY	Doctor diagnosed emphysema		100089	Online follow-up	123	Work environment	132	Medical information	132	Online follow-up > Work environment > Medical information
131556	DATE	47309/925(48234)	0.362506771251775	0.168276510850484	0.548484312838232	0.000183600242744617	LOGISTIC-BINARY	Date K02 first reported (dental caries)		2411	Health-related outcomes		First occurrences		First occurrences	2411	Health-related outcomes > First occurrences > Digestive system disorders
131934	DATE	47696/538(48234)	0.444207458759794	0.196455154744476	0.678741324867631	0.000299870549339418	LOGISTIC-BINARY	Date M62 first reported (other disorders of muscle)		2413	Health-related outcomes		First occurrences		First occurrences	2413	Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders
41245#1040	CAT-MUL	46026/2005(48031)	-0.303859741082323	-0.474457104579296	-0.140575545490466	0.000357120634092461	LOGISTIC-BINARY	Main speciality of consultant (recoded): Anaesthetics		100091	Health-related outcomes	2000	Hospital inpatient	2001	Summary Administration	2001	Health-related outcomes > Hospital inpatient > Summary Administration
41210#Y828	CAT-MUL	48022/212(48234)	0.631575683795214	0.255222167659591	0.979978758184723	0.000611888002749139	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: Y82.8 Other specified local anaesthetic		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#Y828	CAT-MUL	48022/212(48234)	0.631575683795214	0.255222167659591	0.979978758184723	0.000611888002749139	LOGISTIC-BINARY	Operative procedures - OPCS4: Y82.8 Other specified local anaesthetic		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20003#1140879760	CAT-MUL	47642/592(48234)	0.398390128537356	0.158081613964484	0.62626555930286	0.000838313594515111	LOGISTIC-BINARY	Treatment/medication code: bisoprolol		100000	UK Biobank Assessment Centre	100071	Verbal interview	100075	Medications	100075	UK Biobank Assessment Centre > Verbal interview > Medications
1787	CAT-SIN	25341/14437(39778)	0.114945441954221	0.0468771851999798	0.182746079570447	0.000911518633696071	LOGISTIC-BINARY	Maternal smoking around birth		100000	UK Biobank Assessment Centre	100025	Touchscreen	100033	Early life factors	100033	UK Biobank Assessment Centre > Touchscreen > Early life factors
41210#Y983	CAT-MUL	46303/1931(48234)	-0.284520917810584	-0.457022806029544	-0.119356111545306	0.000948774490692287	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: Y98.3 Radiology of three body areas (or 20-40 minutes)		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#Y983	CAT-MUL	46303/1931(48234)	-0.284520917810584	-0.457022806029544	-0.119356111545306	0.000948774490692287	LOGISTIC-BINARY	Operative procedures - OPCS4: Y98.3 Radiology of three body areas (or 20-40 minutes)		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
