varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30660	CONTINUOUS	36050	0.204280507936748	0.202463563107902	0.206097452765593	0	LINEAR	Direct bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30750	CONTINUOUS	43761	-0.0522922035245625	-0.0547941322486482	-0.0497902748004768	0	LINEAR	Glycated haemoglobin (HbA1c)		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30840	CONTINUOUS	45743	0.239858712245214	0.238667876465544	0.241049548024883	0	LINEAR	Total bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30090	CONTINUOUS	44616	-0.0460526117296061	-0.0485412064543407	-0.0435640170048716	6.37161395345442e-284	LINEAR	Platelet crit		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30120	CONTINUOUS	44556	-0.0434640552779266	-0.0460303512037861	-0.040897759352067	1.02274259998055e-238	LINEAR	Lymphocyte count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30080	CONTINUOUS	44617	-0.0428208182725133	-0.0453578779949419	-0.0402837585500847	4.11310318325403e-237	LINEAR	Platelet count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30000	CONTINUOUS	44617	-0.0428393293480186	-0.045422591612017	-0.0402560670840202	4.51140881104427e-229	LINEAR	White blood cell (leukocyte) count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30870	CONTINUOUS	45723	-0.0419754631213475	-0.0445259282116078	-0.0394249980310872	9.42877347630464e-226	LINEAR	Triglycerides		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30710	CONTINUOUS	45622	-0.0382365947012376	-0.0407788493978616	-0.0356943400046136	3.17606973924357e-189	LINEAR	C-reactive protein		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30020	CONTINUOUS	44618	0.0329189257798232	0.0307283692241839	0.0351094823354625	7.17512538022967e-189	LINEAR	Haemoglobin concentration		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30600	CONTINUOUS	42079	0.0365180029307775	0.0338900535554705	0.0391459523060844	6.1485524241392e-162	LINEAR	Albumin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30030	CONTINUOUS	44618	0.0298439444585251	0.0276026038187666	0.0320852850982835	5.06977178212606e-149	LINEAR	Haematocrit percentage		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
1239	CAT-SIN	11679/34064(45743)	-0.0776817455912221	-0.0836281583977081	-0.0717613554313567	3.16760352939682e-145	LOGISTIC-BINARY	Current tobacco smoking		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
30650	CONTINUOUS	45719	0.031833510360497	0.0293454046260436	0.0343216160949504	7.61567340827058e-138	LINEAR	Aspartate aminotransferase		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30760	CONTINUOUS	42062	0.0300246975400769	0.0275055110972329	0.032543883982921	6.30271747045102e-120	LINEAR	HDL cholesterol		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
1558	CAT-SIN	45657	-0.0580542327020483	-0.0629956208763879	-0.0531128445277086	1.15474143731196e-116	ORDERED-LOGISTIC	Alcohol intake frequency.		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100051	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol
30140	CONTINUOUS	44556	-0.0301517186054038	-0.0327553159202165	-0.027548121290591	2.04269902838219e-113	LINEAR	Neutrophill count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
102	INTEGER	42829	-0.0301798850575696	-0.0328405191094971	-0.0275192510056422	6.8673216341649e-109	LINEAR	"Pulse rate, automated reading"		100000	UK Biobank Assessment Centre	100006	Physical measures	100011	Blood pressure	100011	UK Biobank Assessment Centre > Physical measures > Blood pressure
30150	CONTINUOUS	44556	-0.0285102662945553	-0.0311035013091837	-0.0259170312799268	1.82420116050028e-102	LINEAR	Eosinophill count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30630	CONTINUOUS	41860	0.0271472658102919	0.0245977111416742	0.0296968204789097	3.10848860399075e-96	LINEAR	Apolipoprotein A		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30860	CONTINUOUS	42029	0.0262509975553381	0.0235680257366638	0.0289339693740125	1.27744811245874e-81	LINEAR	Total protein		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30850	CONTINUOUS	42600	0.0155516394021005	0.0139444092028982	0.0171588696013028	7.06223017919806e-80	LINEAR	Testosterone		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30050	CONTINUOUS	44618	0.02303156490578	0.0204482008092451	0.025614929002315	3.80202556742622e-68	LINEAR	Mean corpuscular haemoglobin		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30130	CONTINUOUS	44556	-0.021728096170689	-0.0242638925072537	-0.0191922998341244	4.18963552595791e-63	LINEAR	Monocyte count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
50	CONTINUOUS	45743	0.0156346912250149	0.0138001007167725	0.0174692817332573	1.89136948370802e-62	LINEAR	Standing height		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
26414	CONTINUOUS	38070	-0.022777007973495	-0.0255657648023865	-0.0199882511446034	1.7211708964532e-57	LINEAR	Education score (England)		1	Population characteristics	100094	Baseline characteristics	76	Indices of Multiple Deprivation	76	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation
30810	CONTINUOUS	42028	-0.0208550063324228	-0.0234839036487589	-0.0182261090160868	2.29846861939503e-54	LINEAR	Phosphate		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30040	CONTINUOUS	44618	0.0203464204208461	0.0177614844483263	0.0229313563933659	1.4691418008372e-53	LINEAR	Mean corpuscular volume		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
3063	CONTINUOUS	40504	0.016024548570547	0.0139847854181378	0.0180643117229562	2.38866946141343e-53	LINEAR	Forced expiratory volume in 1-second (FEV1)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
30070	CONTINUOUS	44618	-0.0202160676318826	-0.0228091188677957	-0.0176230163959695	1.39634944714681e-52	LINEAR	Red blood cell (erythrocyte) distribution width		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
3062	CONTINUOUS	40504	0.0149719886918769	0.0129877505896369	0.016956226794117	2.31219004073329e-49	LINEAR	Forced vital capacity (FVC)		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
30610	CONTINUOUS	45729	-0.0184957994610025	-0.0210384730600088	-0.0159531258619962	5.05792236252146e-46	LINEAR	Alkaline phosphatase		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
20162	CONTINUOUS	36686	-0.0220958530779283	-0.0251347337213598	-0.0190569724344967	5.82522151345092e-46	LINEAR	Pack years adult smoking as proportion of life span exposed to smoking		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
20150	CONTINUOUS	33380	0.0159432678906292	0.0137466808038929	0.0181398549773655	8.56484229513457e-46	LINEAR	"Forced expiratory volume in 1-second (FEV1), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
924	CAT-SIN	45336	0.0376730051044412	0.0324612376018125	0.04288477260707	1.8142850785865e-45	ORDERED-LOGISTIC	Usual walking pace		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100054	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
20161	CONTINUOUS	36686	-0.0208894129081741	-0.0237906987260851	-0.017988127090263	4.18704555477112e-45	LINEAR	Pack years of smoking		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
2178	CAT-SIN	45376	-0.0368576545500084	-0.0419885851423426	-0.0317267239576742	6.31308718875148e-45	ORDERED-LOGISTIC	Overall health rating		100000	UK Biobank Assessment Centre	100025	Touchscreen	100036	Health and medical history	100042	UK Biobank Assessment Centre > Touchscreen > Health and medical history > General health
30680	CONTINUOUS	42069	0.0191784020510028	0.0164855943882335	0.0218712097137721	3.45990044536252e-44	LINEAR	Calcium		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
738	CAT-SIN	39539	0.0367757702280192	0.0316070621033579	0.0419444783526806	4.26040284485254e-44	ORDERED-LOGISTIC	Average total household income before tax		100000	UK Biobank Assessment Centre	100025	Touchscreen	100062	Sociodemographics	100066	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household
20151	CONTINUOUS	33380	0.0150004894229144	0.0128803973736477	0.0171205814721811	1.30808805124487e-43	LINEAR	"Forced vital capacity (FVC), Best measure"		100000	UK Biobank Assessment Centre	100006	Physical measures	100020	Spirometry	100020	UK Biobank Assessment Centre > Physical measures > Spirometry
30530	CONTINUOUS	44163	-0.0180717211257518	-0.0206421501488201	-0.0155012921026834	4.12244077167443e-43	LINEAR	Sodium in urine		100078	Biological samples	100079	Assay results	100083	Urine assays	100083	Biological samples > Assay results > Urine assays
30010	CONTINUOUS	44618	0.0161654133093209	0.0138294068167328	0.0185014198019091	7.97754910982992e-42	LINEAR	Red blood cell (erythrocyte) count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
6164#2	CAT-MUL	30080/15373(45453)	0.0379023612838798	0.0323843219130346	0.0434411326232939	3.61029512546675e-41	LOGISTIC-BINARY	Types of physical activity in last 4 weeks: Other exercises (eg: swimming, cycling, keep fit, bowling)		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100054	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Physical activity
23104	CONTINUOUS	45056	-0.0177178323376558	-0.0203212076089099	-0.0151144570664016	1.63217779152835e-40	LINEAR	Body mass index (BMI)		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
21001	CONTINUOUS	45743	-0.0175353969680154	-0.0201209187814186	-0.0149498751546122	3.01451502436414e-40	LINEAR	Body mass index (BMI)		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
26412	CONTINUOUS	38070	-0.0188136251943225	-0.0215932763720265	-0.0160339740166186	4.46783118980201e-40	LINEAR	Employment score (England)		1	Population characteristics	100094	Baseline characteristics	76	Indices of Multiple Deprivation	76	Population characteristics > Baseline characteristics > Indices of Multiple Deprivation
48	CONTINUOUS	45738	-0.0156656699955478	-0.0179932774128624	-0.0133380625782331	1.15850685588428e-39	LINEAR	Waist circumference		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
