varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30660	CONTINUOUS	36079	0.130130611279829	0.126941958490737	0.133319264068921	0	LINEAR	Direct bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30840	CONTINUOUS	45743	0.166089792583199	0.16320637105756	0.168973214108837	0	LINEAR	Total bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
130818	DATE	48160/74(48234)	0.388967761440907	0.328793033866025	0.454901876887858	4.6488529230294e-34	LOGISTIC-BINARY	Date E80 first reported (disorders of porphyrin and bilirubin metabolism)		2404	Health-related outcomes		First occurrences		First occurrences	2404	Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases
30690	CONTINUOUS	45977	-0.00854777316219932	-0.0118950277105748	-0.00520051861382384	5.60020061874263e-07	LINEAR	Cholesterol		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
41272#Q145	CAT-MUL	48153/81(48234)	0.123415594082134	0.0607038540845914	0.181392519600322	5.60033872270533e-05	LOGISTIC-BINARY	Operative procedures - OPCS4: Q14.5 Insertion of prostaglandin pessary		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#Q145	CAT-MUL	48162/72(48234)	0.129237019559511	0.0633018627528743	0.190106969230121	5.87957553784808e-05	LOGISTIC-BINARY	Operative procedures - main OPCS4: Q14.5 Insertion of prostaglandin pessary		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
30640	CONTINUOUS	45688	-0.00642666905548748	-0.00981973914854567	-0.00303359896242929	0.000205561300974597	LINEAR	Apolipoprotein B		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
41245#1040	CAT-MUL	46026/2005(48031)	-0.0346004328809856	-0.0532872263515796	-0.0165915467731089	0.000217459703404299	LOGISTIC-BINARY	Main speciality of consultant (recoded): Anaesthetics		100091	Health-related outcomes	2000	Hospital inpatient	2001	Summary Administration	2001	Health-related outcomes > Hospital inpatient > Summary Administration
30780	CONTINUOUS	45880	-0.00611336262854557	-0.00949094641334463	-0.00273577884374652	0.000389158854569896	LINEAR	LDL direct		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
131556	DATE	47309/925(48234)	0.0390476143818	0.0170149599211761	0.0602325351171267	0.000393919204912203	LOGISTIC-BINARY	Date K02 first reported (dental caries)		2411	Health-related outcomes		First occurrences		First occurrences	2411	Health-related outcomes > First occurrences > Digestive system disorders
41210#Y983	CAT-MUL	46303/1931(48234)	-0.0319486514523276	-0.0508502121996164	-0.0137281210051239	0.000737423071109279	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: Y98.3 Radiology of three body areas (or 20-40 minutes)		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#Y983	CAT-MUL	46303/1931(48234)	-0.0319486514523276	-0.0508502121996164	-0.0137281210051239	0.000737423071109279	LOGISTIC-BINARY	Operative procedures - OPCS4: Y98.3 Radiology of three body areas (or 20-40 minutes)		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
101230	CAT-SIN	5439	-0.215404818397912	-0.341746857505223	-0.0890627792906018	0.00083839329672825	ORDERED-LOGISTIC	Naan bread intake		100089	Online follow-up	100090	Diet by 24-hour recall	100101	Bread/pasta/rice yesterday	100101	Online follow-up > Diet by 24-hour recall > Bread/pasta/rice yesterday
41222#4	CAT-MUL	489/121(610)	0.114645057228432	0.0461045273614514	0.181572687220039	0.000862909487539792	LOGISTIC-BINARY	Delivery onset methods: Medical induction		100091	Health-related outcomes	2000	Hospital inpatient	2003	Summary Maternity	2003	Health-related outcomes > Hospital inpatient > Summary Maternity
1787	CAT-SIN	25341/14437(39778)	0.0128225746326007	0.0052302390847889	0.0203890028817039	0.000913126602205288	LOGISTIC-BINARY	Maternal smoking around birth		100000	UK Biobank Assessment Centre	100025	Touchscreen	100033	Early life factors	100033	UK Biobank Assessment Centre > Touchscreen > Early life factors
131934	DATE	47696/538(48234)	0.0463754444902035	0.0180479272552838	0.0733107864569717	0.000990160457533806	LOGISTIC-BINARY	Date M62 first reported (other disorders of muscle)		2413	Health-related outcomes		First occurrences		First occurrences	2413	Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders
41272#F109	CAT-MUL	47910/324(48234)	0.0568917758936671	0.02137119515408	0.0902949328444047	0.00118942610871237	LOGISTIC-BINARY	Operative procedures - OPCS4: F10.9 Unspecified simple extraction of tooth		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
101470	CAT-SIN	5249/62(5311)	0.114383914313347	0.0402930110820248	0.181871381836733	0.0014280546089531	LOGISTIC-BINARY	Number of crackers/crispbreads with butter/margarine		100089	Online follow-up	100090	Diet by 24-hour recall	100101	Bread/pasta/rice yesterday	100101	Online follow-up > Diet by 24-hour recall > Bread/pasta/rice yesterday
40006#C444	CAT-MUL	48110/124(48234)	0.0830885092475872	0.0288746684462376	0.132916909388663	0.00167027656429852	LOGISTIC-BINARY	Type of cancer: ICD10: C44.4 Skin of scalp and neck		100091	Health-related outcomes	100092	Cancer register	100092	Cancer register	100092	Health-related outcomes > Cancer register
41273#687	CAT-MUL	48087/147(48234)	-0.165787875072799	-0.28120692090256	-0.0725826292168706	0.0016782257191721	LOGISTIC-BINARY	Operative procedures - OPCS3: 687 Bilateral endoscopic occlusion of oviducts		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#Y828	CAT-MUL	48022/212(48234)	0.0667694786694707	0.0234141841877063	0.107104248632656	0.00171522193835697	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: Y82.8 Other specified local anaesthetic		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#Y828	CAT-MUL	48022/212(48234)	0.0667694786694707	0.0234141841877063	0.107104248632656	0.00171522193835697	LOGISTIC-BINARY	Operative procedures - OPCS4: Y82.8 Other specified local anaesthetic		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
22128	CAT-SIN	7568/96(7664)	0.0950017120018368	0.0321682996614825	0.152399125085934	0.00185072750614807	LOGISTIC-BINARY	Doctor diagnosed emphysema		100089	Online follow-up	123	Work environment	132	Medical information	132	Online follow-up > Work environment > Medical information
41200#O291	CAT-MUL	47639/595(48234)	-0.0569150808468216	-0.0943239904140315	-0.0223001748916877	0.00191514379192316	LOGISTIC-BINARY	Operative procedures - main OPCS4: O29.1 Subacromial decompression		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#F109	CAT-MUL	48145/89(48234)	0.0924781077094462	0.0297369815369269	0.149591679270975	0.00235857010603632	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: F10.9 Unspecified simple extraction of tooth		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41246#2350	CAT-MUL	44726/1459(46185)	-0.0328306546764912	-0.0545635037069385	-0.0120204458492744	0.0024701881738942	LOGISTIC-BINARY	Treatment speciality of consultant (recoded): Pain management		100091	Health-related outcomes	2000	Hospital inpatient	2001	Summary Administration	2001	Health-related outcomes > Hospital inpatient > Summary Administration
20003#1140879760	CAT-MUL	47642/592(48234)	0.0412457095925176	0.0138091266113223	0.0673795433507207	0.00251716871340995	LOGISTIC-BINARY	Treatment/medication code: bisoprolol		100000	UK Biobank Assessment Centre	100071	Verbal interview	100075	Medications	100075	UK Biobank Assessment Centre > Verbal interview > Medications
