varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30660	CONTINUOUS	134809	0.630595538616585	0.623679193925422	0.637511883307749	0	LINEAR	Direct bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30840	CONTINUOUS	155438	0.747031452023461	0.740848836905852	0.753214067141069	0	LINEAR	Total bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
130818	DATE	163001/585(163586)	2.93440849070871	2.75238039504056	3.12529182645676	2.78307254644282e-209	LOGISTIC-BINARY	Date E80 first reported (disorders of porphyrin and bilirubin metabolism)		2404	Health-related outcomes		First occurrences		First occurrences	2404	Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases
1717	CAT-SIN	161678	0.0406987754609247	0.0244382004958113	0.0569593504260381	9.31821213273392e-07	ORDERED-LOGISTIC	Skin colour		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100055	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
41272#C841	CAT-MUL	163505/81(163586)	0.64662055170204	0.335359799080048	0.955944400534649	4.26796174843256e-05	LOGISTIC-BINARY	Operative procedures - OPCS4: C84.1 Epiretinal dissection		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
131746	DATE	163045/541(163586)	0.253918259718884	0.129588257303309	0.376981492073077	5.70671688197532e-05	LOGISTIC-BINARY	Date L42 first reported (pityriasis rosea)		2412	Health-related outcomes		First occurrences		First occurrences	2412	Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders
6157#2	CAT-MUL	101402/7678(109080)	-0.0667350450481437	-0.102687569331139	-0.0309272887357808	0.000266771666553628	LOGISTIC-BINARY	Why stopped smoking: Doctor's advice		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100058	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking
41210#C841	CAT-MUL	163522/64(163586)	0.644102926961595	0.293823690527167	0.991885916544209	0.000287748726624889	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: C84.1 Epiretinal dissection		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
1727	CAT-SIN	160661	-0.0246613420014136	-0.0382597829201271	-0.0110629010827002	0.000378746544170143	ORDERED-LOGISTIC	Ease of skin tanning		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100055	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
41229#5PH	CAT-MUL	161641/1945(163586)	-0.126708902714167	-0.196923221568299	-0.0571519529107329	0.000379459681154301	LOGISTIC-BINARY	PCT responsible for patient data: NORTH STAFFORDSHIRE PCT		100091	Health-related outcomes	2000	Hospital inpatient	2001	Summary Administration	2001	Health-related outcomes > Hospital inpatient > Summary Administration
