varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30660	CONTINUOUS	134809	1.35083404068104	1.33634684345915	1.36532123790294	0	LINEAR	Direct bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30840	CONTINUOUS	155438	1.5697355337735	1.55597378503402	1.58349728251297	0	LINEAR	Total bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
130818	DATE	163001/585(163586)	3.7921175704423	3.58306004759469	4.01089153432491	4.60253909623969e-265	LOGISTIC-BINARY	Date E80 first reported (disorders of porphyrin and bilirubin metabolism)		2404	Health-related outcomes		First occurrences		First occurrences	2404	Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases
1717	CAT-SIN	161678	0.0983769242928226	0.062943871022395	0.13380997756325	5.28280604508495e-08	ORDERED-LOGISTIC	Skin colour		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100055	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
131746	DATE	163045/541(163586)	0.592180559840688	0.359240466040862	0.813775023067827	3.16710135945482e-07	LOGISTIC-BINARY	Date L42 first reported (pityriasis rosea)		2412	Health-related outcomes		First occurrences		First occurrences	2412	Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders
20004#1455	CAT-MUL	156680/6903(163583)	0.180983199901606	0.104015319991511	0.256655544122434	3.34404775549489e-06	LOGISTIC-BINARY	Operation code: cholecystectomy/gall bladder removal		100000	UK Biobank Assessment Centre	100071	Verbal interview	100076	Operations	100076	UK Biobank Assessment Centre > Verbal interview > Operations
131228	DATE	161586/2000(163586)	0.291371129453316	0.157182508775501	0.421373703354888	1.52511821768733e-05	LOGISTIC-BINARY	Date H65 first reported (nonsuppurative otitis media)		2408	Health-related outcomes		First occurrences		First occurrences	2408	Health-related outcomes > First occurrences > Ear and mastoid process disorders
41272#J373	CAT-MUL	163241/345(163586)	0.621861728523219	0.329649728208617	0.89649841436352	1.64246631451203e-05	LOGISTIC-BINARY	Operative procedures - OPCS4: J37.3 Direct puncture operative cholangiography		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#J373	CAT-MUL	163244/342(163586)	0.611673824483623	0.31705880324457	0.888356715027999	2.60860227679291e-05	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: J37.3 Direct puncture operative cholangiography		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
1727	CAT-SIN	160661	-0.0617478687641529	-0.0916184302973695	-0.0318773072309363	5.08760341977264e-05	ORDERED-LOGISTIC	Ease of skin tanning		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100055	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
