varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30020	CONTINUOUS	151816	0.0322264966643971	0.0312817936388565	0.0331711996899378	0	LINEAR	Haemoglobin concentration		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30030	CONTINUOUS	151816	0.0281157557070876	0.0271439698694763	0.0290875415446988	0	LINEAR	Haematocrit percentage		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30080	CONTINUOUS	151815	-0.0311520584572632	-0.0322952756211366	-0.0300088412933899	0	LINEAR	Platelet count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30090	CONTINUOUS	151814	-0.0318305570616694	-0.0329538230003938	-0.030707291122945	0	LINEAR	Platelet crit		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30600	CONTINUOUS	142383	0.0318988363648515	0.0306983824298318	0.0330992902998711	0	LINEAR	Albumin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30660	CONTINUOUS	134693	0.176649890559191	0.175910055596261	0.177389725522121	0	LINEAR	Direct bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30710	CONTINUOUS	155087	-0.0313975182326212	-0.0325548891182379	-0.0302401473470044	0	LINEAR	C-reactive protein		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30750	CONTINUOUS	148439	-0.0372762266123231	-0.0384202737214509	-0.0361321795031953	0	LINEAR	Glycated haemoglobin (HbA1c)		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30840	CONTINUOUS	155438	0.198920887981028	0.198387524319686	0.19945425164237	0	LINEAR	Total bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30870	CONTINUOUS	155383	-0.0332640836833881	-0.034402551329113	-0.0321256160376631	0	LINEAR	Triglycerides		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
130818	DATE	154878/560(155438)	0.172598783563341	0.164690081774013	0.180552325061499	0	LOGISTIC-BINARY	Date E80 first reported (disorders of porphyrin and bilirubin metabolism)		2404	Health-related outcomes		First occurrences		First occurrences	2404	Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases
21001	CONTINUOUS	155438	-0.0226868024836631	-0.0238437762302502	-0.0215298287370761	1.22528280168629e-321	LINEAR	Body mass index (BMI)		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
23104	CONTINUOUS	153066	-0.0228046451519735	-0.0239728124387374	-0.0216364778652096	8.49694097717776e-319	LINEAR	Body mass index (BMI)		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
30000	CONTINUOUS	151812	-0.0228294942204925	-0.0240147056718518	-0.0216442827691331	1.87219704627939e-310	LINEAR	White blood cell (leukocyte) count		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
30850	CONTINUOUS	140501	0.0140943620651802	0.0133559151942813	0.0148328089360791	8.88506498179682e-305	LINEAR	Testosterone		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
102	INTEGER	146890	-0.0229190438294788	-0.0241202055654476	-0.0217178820935101	1.16331652495449e-304	LINEAR	"Pulse rate, automated reading"		100000	UK Biobank Assessment Centre	100006	Physical measures	100011	Blood pressure	100011	UK Biobank Assessment Centre > Physical measures > Blood pressure
48	CONTINUOUS	155405	-0.019179154074906	-0.0201970808458693	-0.0181612273039426	3.14474331008352e-297	LINEAR	Waist circumference		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
23119	CONTINUOUS	153037	-0.0166586502173219	-0.0175441620357384	-0.0157731383989054	2.62365625862478e-296	LINEAR	Arm fat percentage (right)		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23123	CONTINUOUS	153011	-0.016500282526616	-0.0173840944181953	-0.0156164706350367	7.15362774184708e-292	LINEAR	Arm fat percentage (left)		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
30050	CONTINUOUS	151815	0.0219349162615876	0.0207571686192937	0.0231126639038815	1.78987931608592e-290	LINEAR	Mean corpuscular haemoglobin		100078	Biological samples	100079	Assay results	100080	Blood assays	100081	Biological samples > Assay results > Blood assays > Blood count
