varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30660	CONTINUOUS	134809	0.161872446480125	0.160271564047142	0.163473328913107	0	LINEAR	Direct bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30840	CONTINUOUS	155438	0.191451033446889	0.189967355799121	0.192934711094656	0	LINEAR	Total bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
130818	DATE	163001/585(163586)	0.448867591034252	0.423851175925674	0.47509962081677	6.84957644204779e-259	LOGISTIC-BINARY	Date E80 first reported (disorders of porphyrin and bilirubin metabolism)		2404	Health-related outcomes		First occurrences		First occurrences	2404	Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases
1717	CAT-SIN	161678	0.0114258024944064	0.00747477006025408	0.0153768349285588	1.44693047436157e-08	ORDERED-LOGISTIC	Skin colour		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100055	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
131746	DATE	163045/541(163586)	0.0673411215211071	0.0408616610576079	0.0926487251684549	3.35261627830155e-07	LOGISTIC-BINARY	Date L42 first reported (pityriasis rosea)		2412	Health-related outcomes		First occurrences		First occurrences	2412	Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders
20004#1455	CAT-MUL	156680/6903(163583)	0.0190747340429586	0.0104154196387824	0.0276047042744268	1.35887398975827e-05	LOGISTIC-BINARY	Operation code: cholecystectomy/gall bladder removal		100000	UK Biobank Assessment Centre	100071	Verbal interview	100076	Operations	100076	UK Biobank Assessment Centre > Verbal interview > Operations
41272#J373	CAT-MUL	163241/345(163586)	0.0710553568470191	0.0378813923336944	0.102417380904215	1.53984575888083e-05	LOGISTIC-BINARY	Operative procedures - OPCS4: J37.3 Direct puncture operative cholangiography		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#J373	CAT-MUL	163244/342(163586)	0.0699260903814788	0.0364955991651626	0.101510072445362	2.41084143558147e-05	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: J37.3 Direct puncture operative cholangiography		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
1727	CAT-SIN	160661	-0.00709972546919101	-0.0104268891121855	-0.00377256182619656	2.88626369241394e-05	ORDERED-LOGISTIC	Ease of skin tanning		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100055	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
30690	CONTINUOUS	156094	-0.00367624372135744	-0.00548515530956607	-0.00186733213314882	6.80077484695004e-05	LINEAR	Cholesterol		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
