varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30660	CONTINUOUS	186473	1.39026992405577	1.37814993450472	1.40238991360682	0	LINEAR	Direct bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30840	CONTINUOUS	237552	1.63128885282249	1.61960725845776	1.64297044718723	0	LINEAR	Total bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
130818	DATE	249774/502(250276)	3.95568614238739	3.71649974771763	4.20892941283973	2.50703376326897e-218	LOGISTIC-BINARY	Date E80 first reported (disorders of porphyrin and bilirubin metabolism)		2404	Health-related outcomes		First occurrences		First occurrences	2404	Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases
1717	CAT-SIN	247537	0.0883784467133935	0.0602357932347449	0.116521100192042	7.51293483684707e-10	ORDERED-LOGISTIC	Skin colour		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100055	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
20004#1455	CAT-MUL	235998/14271(250269)	0.130698498602915	0.0761748637819662	0.184568052899932	2.27989118676658e-06	LOGISTIC-BINARY	Operation code: cholecystectomy/gall bladder removal		100000	UK Biobank Assessment Centre	100071	Verbal interview	100076	Operations	100076	UK Biobank Assessment Centre > Verbal interview > Operations
131674	DATE	229230/21046(250276)	0.106607870216151	0.0607174731429688	0.152057216925766	4.75340137604038e-06	LOGISTIC-BINARY	Date K80 first reported (cholelithiasis)		2411	Health-related outcomes		First occurrences		First occurrences	2411	Health-related outcomes > First occurrences > Digestive system disorders
30690	CONTINUOUS	238510	-0.0300350195372621	-0.043097029597567	-0.0169730094769571	6.5844107602678e-06	LINEAR	Cholesterol		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
41272#J183	CAT-MUL	236767/13509(250276)	0.117044115553723	0.0609980931207924	0.172379751804794	3.79693387294499e-05	LOGISTIC-BINARY	Operative procedures - OPCS4: J18.3 Total cholecystectomy NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#J183	CAT-MUL	237195/13081(250276)	0.116838186187725	0.0599345724941618	0.17300636033467	5.10437896160963e-05	LOGISTIC-BINARY	Operative procedures - main OPCS4: J18.3 Total cholecystectomy NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#T111	CAT-MUL	250195/81(250276)	1.03132975733236	0.490157820386888	1.52559401259443	8.57038819330115e-05	LOGISTIC-BINARY	Operative procedures - main OPCS4: T11.1 Diagnostic endoscopic examination of pleura and biopsy of lesion of pleura		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#U162	CAT-MUL	249291/985(250276)	0.352481014122725	0.165589061875773	0.531354977744825	0.000156378087192006	LOGISTIC-BINARY	Operative procedures - main OPCS4: U16.2 Magnetic resonance cholangiopancreatography		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#H582	CAT-MUL	249867/409(250276)	0.498794212964612	0.221032238215285	0.75994840606233	0.00027861344756481	LOGISTIC-BINARY	Operative procedures - main OPCS4: H58.2 Drainage of perianal abscess		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#J372	CAT-MUL	249646/630(250276)	0.410062347122426	0.180225173473138	0.628066969418139	0.000326146260525903	LOGISTIC-BINARY	Operative procedures - OPCS4: J37.2 Operative cholangiography through cystic duct		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#J372	CAT-MUL	249653/623(250276)	0.409604469336799	0.178446895040862	0.628796009100083	0.000357463149569331	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: J37.2 Operative cholangiography through cystic duct		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
