varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30660	CONTINUOUS	187786	1.40000202309227	1.38672630877683	1.41327773740772	0	LINEAR	Direct bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30840	CONTINUOUS	200610	1.59269504540259	1.57986013251245	1.60552995829274	0	LINEAR	Total bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
130818	DATE	209964/1199(211163)	3.85563204862919	3.7054821158751	4.01086184805411	0	LOGISTIC-BINARY	Date E80 first reported (disorders of porphyrin and bilirubin metabolism)		2404	Health-related outcomes		First occurrences		First occurrences	2404	Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases
131674	DATE	201863/9300(211163)	0.249693168264762	0.185347761221548	0.313134368942405	1.85654165499597e-14	LOGISTIC-BINARY	Date K80 first reported (cholelithiasis)		2411	Health-related outcomes		First occurrences		First occurrences	2411	Health-related outcomes > First occurrences > Digestive system disorders
20004#1455	CAT-MUL	207187/3972(211159)	0.34289969218834	0.249206713444857	0.434623576223973	4.14408720528112e-13	LOGISTIC-BINARY	Operation code: cholecystectomy/gall bladder removal		100000	UK Biobank Assessment Centre	100071	Verbal interview	100076	Operations	100076	UK Biobank Assessment Centre > Verbal interview > Operations
30690	CONTINUOUS	201477	-0.0486286733432936	-0.0630810907807818	-0.0341762559058053	4.26832195162286e-11	LINEAR	Cholesterol		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
131746	DATE	210517/646(211163)	0.67407901516686	0.467346180276126	0.872119958272051	6.39454546332473e-11	LOGISTIC-BINARY	Date L42 first reported (pityriasis rosea)		2412	Health-related outcomes		First occurrences		First occurrences	2412	Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders
1717	CAT-SIN	207602	0.101559865426313	0.0698701196739997	0.133249611178626	3.36105516747599e-10	ORDERED-LOGISTIC	Skin colour		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100055	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
41272#J183	CAT-MUL	205631/5532(211163)	0.212637249872568	0.129233849275278	0.294424158219438	4.49357368508849e-07	LOGISTIC-BINARY	Operative procedures - OPCS4: J18.3 Total cholecystectomy NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#J183	CAT-MUL	206092/5071(211163)	0.217997882366353	0.131167146051603	0.303070589912262	6.62399195276637e-07	LOGISTIC-BINARY	Operative procedures - main OPCS4: J18.3 Total cholecystectomy NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
1727	CAT-SIN	207256	-0.0614506044667252	-0.0877786661281591	-0.0351225428052914	4.77161139705319e-06	ORDERED-LOGISTIC	Ease of skin tanning		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100055	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
131670	DATE	204989/6174(211163)	0.18266350569581	0.10278069318348	0.261056423456496	6.05071630895066e-06	LOGISTIC-BINARY	Date K76 first reported (other diseases of liver)		2411	Health-related outcomes		First occurrences		First occurrences	2411	Health-related outcomes > First occurrences > Digestive system disorders
