varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30660	CONTINUOUS	201829	0.660939618351918	0.655390906339527	0.666488330364309	0	LINEAR	Direct bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30840	CONTINUOUS	235143	0.771701053205526	0.766798682262246	0.776603424148805	0	LINEAR	Total bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
130818	DATE	246631/1037(247668)	3.08146762451836	2.93525385483844	3.23359568224998	0	LOGISTIC-BINARY	Date E80 first reported (disorders of porphyrin and bilirubin metabolism)		2404	Health-related outcomes		First occurrences		First occurrences	2404	Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases
1717	CAT-SIN	244625	0.0454430711281882	0.0322439570985866	0.0586421851577898	1.50166204246578e-11	ORDERED-LOGISTIC	Skin colour		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100055	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
131674	DATE	232120/15548(247668)	0.0812833355271134	0.0566905775640586	0.105820048131698	8.84398774833654e-11	LOGISTIC-BINARY	Date K80 first reported (cholelithiasis)		2411	Health-related outcomes		First occurrences		First occurrences	2411	Health-related outcomes > First occurrences > Digestive system disorders
30690	CONTINUOUS	236072	-0.0164085141115724	-0.0224372079369701	-0.0103798202861747	9.58790492837004e-08	LINEAR	Cholesterol		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
41272#J183	CAT-MUL	237686/9982(247668)	0.0764646935855783	0.046205519359858	0.106632015726764	7.03249835513231e-07	LOGISTIC-BINARY	Operative procedures - OPCS4: J18.3 Total cholecystectomy NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#J183	CAT-MUL	238100/9568(247668)	0.0731768065228373	0.0422772447423655	0.103979756654798	3.33519523787401e-06	LOGISTIC-BINARY	Operative procedures - main OPCS4: J18.3 Total cholecystectomy NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#U162	CAT-MUL	246276/1392(247668)	0.183294500815329	0.105217687285517	0.260800882345847	3.86088758494753e-06	LOGISTIC-BINARY	Operative procedures - OPCS4: U16.2 Magnetic resonance cholangiopancreatography		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20004#1455	CAT-MUL	238159/9501(247660)	0.0715399219534783	0.0403565709836461	0.102626972825466	6.68307232377702e-06	LOGISTIC-BINARY	Operation code: cholecystectomy/gall bladder removal		100000	UK Biobank Assessment Centre	100071	Verbal interview	100076	Operations	100076	UK Biobank Assessment Centre > Verbal interview > Operations
41210#W846	CAT-MUL	247458/210(247668)	-0.511907252313187	-0.749579251374787	-0.284435012153061	1.5643682647345e-05	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: W84.6 Endoscopic excision of synovial plica		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
30890	CONTINUOUS	225977	0.013515102534921	0.00729132881249731	0.0197388762573446	2.08069629578808e-05	LINEAR	Vitamin D		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
6140#1	CAT-MUL	6391/75027(81418)	0.0853393807366887	0.0460566276914223	0.124801590747934	2.15353717200734e-05	LOGISTIC-BINARY	Heating type(s) in home: Gas central heating		100000	UK Biobank Assessment Centre	100025	Touchscreen	100062	Sociodemographics	100066	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household
1727	CAT-SIN	242234	-0.0232757452131274	-0.0343032672223007	-0.0122482232039542	3.52050026980064e-05	ORDERED-LOGISTIC	Ease of skin tanning		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100055	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
41272#W281	CAT-MUL	245406/2262(247668)	0.128790076893335	0.066863895388153	0.190330696620367	4.32727063907489e-05	LOGISTIC-BINARY	Operative procedures - OPCS4: W28.1 Application of internal fixation to bone NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#W781	CAT-MUL	247164/504(247668)	-0.287626302570793	-0.430783038489603	-0.147705837690952	6.75618964165634e-05	LOGISTIC-BINARY	Operative procedures - OPCS4: W78.1 Release of contracture of shoulder joint		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
30850	CONTINUOUS	212848	0.00782004048534613	0.00390847790373845	0.0117316030669538	8.91648225863148e-05	LINEAR	Testosterone		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
41210#W281	CAT-MUL	245612/2056(247668)	0.129109241950925	0.0641661561410555	0.19362828352509	9.24487165411059e-05	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: W28.1 Application of internal fixation to bone NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
40006#C448	CAT-MUL	247600/68(247668)	0.66609741609063	0.327715919404835	1.00226917361591	0.000104420390866492	LOGISTIC-BINARY	Type of cancer: ICD10: C44.8 Overlapping lesion of skin		100091	Health-related outcomes	100092	Cancer register	100092	Cancer register	100092	Health-related outcomes > Cancer register
20003#1140883656	CAT-MUL	247593/67(247660)	0.663730193548323	0.322489874719484	1.00268981072715	0.000125941034731103	LOGISTIC-BINARY	Treatment/medication code: hydroxyzine		100000	UK Biobank Assessment Centre	100071	Verbal interview	100075	Medications	100075	UK Biobank Assessment Centre > Verbal interview > Medications
41200#Q432	CAT-MUL	247492/176(247668)	-0.488825768784354	-0.747485841068373	-0.241883162260345	0.000147439970714877	LOGISTIC-BINARY	Operative procedures - main OPCS4: Q43.2 Excision of lesion of ovary		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
100560	CAT-SIN	35836	-0.220312284500859	-0.334378622427695	-0.106245946574024	0.000153574297610743	ORDERED-LOGISTIC	Other drink intake		100089	Online follow-up	100090	Diet by 24-hour recall	100104	Hot/cold beverages yesterday	100104	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday
41200#X674	CAT-MUL	247570/98(247668)	0.534444401361389	0.250041659756893	0.815606866054838	0.000206903407360431	LOGISTIC-BINARY	Operative procedures - main OPCS4: X67.4 Preparation for simple radiotherapy with imaging and dosimetry		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#W846	CAT-MUL	247392/276(247668)	-0.365692656827458	-0.563820687842694	-0.174068512271393	0.000232214325422465	LOGISTIC-BINARY	Operative procedures - OPCS4: W84.6 Endoscopic excision of synovial plica		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#C293	CAT-MUL	247536/132(247668)	0.448488427523067	0.20179480873591	0.691857634340185	0.000328207914297103	LOGISTIC-BINARY	Operative procedures - OPCS4: C29.3 Occlusion of lacrimal punctum		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#U162	CAT-MUL	246812/856(247668)	0.180114563563906	0.0805254173056775	0.278767043584329	0.000367347929291022	LOGISTIC-BINARY	Operative procedures - main OPCS4: U16.2 Magnetic resonance cholangiopancreatography		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#X674	CAT-MUL	247567/101(247668)	0.497489985855874	0.216584496148277	0.774817232082393	0.000466809159519251	LOGISTIC-BINARY	Operative procedures - OPCS4: X67.4 Preparation for simple radiotherapy with imaging and dosimetry		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#W781	CAT-MUL	247326/342(247668)	-0.307847120640291	-0.482997147802928	-0.137598549790473	0.000472000893049061	LOGISTIC-BINARY	Operative procedures - main OPCS4: W78.1 Release of contracture of shoulder joint		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#Y718	CAT-MUL	247429/239(247668)	0.32081012479186	0.135217584657836	0.503858661048251	0.000640660346822525	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: Y71.8 Other specified late operations NOC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#Y718	CAT-MUL	247429/239(247668)	0.32081012479186	0.135217584657836	0.503858661048251	0.000640660346822525	LOGISTIC-BINARY	Operative procedures - OPCS4: Y71.8 Other specified late operations NOC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
40006#C099	CAT-MUL	247566/102(247668)	0.481407898171865	0.201637277315584	0.757406407014293	0.000671249813131215	LOGISTIC-BINARY	Type of cancer: ICD10: C09.9 Tonsil, unspecified		100091	Health-related outcomes	100092	Cancer register	100092	Cancer register	100092	Health-related outcomes > Cancer register
41246#1240	CAT-MUL	237624/190(237814)	-0.402669411659249	-0.644638533134216	-0.170524535778893	0.000857310286850786	LOGISTIC-BINARY	Treatment speciality of consultant (recoded): Clinical immunology and allergy		100091	Health-related outcomes	2000	Hospital inpatient	2001	Summary Administration	2001	Health-related outcomes > Hospital inpatient > Summary Administration
41200#T746	CAT-MUL	247575/93(247668)	0.492866645113953	0.199686511245372	0.78212563039274	0.000890664789109558	LOGISTIC-BINARY	Operative procedures - main OPCS4: T74.6 Autologous blood injection into tendon		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
22617#8216	CAT-MUL	65891/92(65983)	-0.61057939887203	-0.985182669104543	-0.262168363785816	0.000898793037501521	LOGISTIC-BINARY	Job code - historical: Rail transport operatives		100089	Online follow-up	123	Work environment	130	Employment history	130	Online follow-up > Work environment > Employment history
6140#3	CAT-MUL	79125/2293(81418)	-0.108707587001249	-0.173376310350942	-0.0445833429967124	0.000936594351582994	LOGISTIC-BINARY	Heating type(s) in home: Oil (kerosene) central heating		100000	UK Biobank Assessment Centre	100025	Touchscreen	100062	Sociodemographics	100066	UK Biobank Assessment Centre > Touchscreen > Sociodemographics > Household
41200#C293	CAT-MUL	247551/117(247668)	0.438736290713495	0.176256831081569	0.697361187608647	0.000949467795543606	LOGISTIC-BINARY	Operative procedures - main OPCS4: C29.3 Occlusion of lacrimal punctum		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#J381	CAT-MUL	246406/1262(247668)	0.137592504866032	0.0549615901973633	0.21953308420694	0.00104599417423547	LOGISTIC-BINARY	Operative procedures - OPCS4: J38.1 Endoscopic sphincterotomy of sphincter of Oddi and removal of calculus HFQ		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
30750	CONTINUOUS	235972	0.00955589432169156	0.00372190596027498	0.0153898826831081	0.00132578509899958	LINEAR	Glycated haemoglobin (HbA1c)		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
40011#8081	CAT-MUL	247220/448(247668)	-0.241433950700187	-0.391682727818033	-0.0946590298516987	0.00143319163226168	LOGISTIC-BINARY	Histology of cancer tumour: Bowen disease		100091	Health-related outcomes	100092	Cancer register	100092	Cancer register	100092	Health-related outcomes > Cancer register
41272#Q432	CAT-MUL	247361/307(247668)	-0.291555854124626	-0.47603600131538	-0.112354236517344	0.00166185311090908	LOGISTIC-BINARY	Operative procedures - OPCS4: Q43.2 Excision of lesion of ovary		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
