varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30660	CONTINUOUS	201829	1.41697764287651	1.40544501188618	1.42851027386685	0	LINEAR	Direct bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30840	CONTINUOUS	235143	1.61721578497633	1.60628666617748	1.62814490377518	0	LINEAR	Total bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
130818	DATE	246631/1037(247668)	3.99254655048604	3.82346435378323	4.16850298185074	0	LOGISTIC-BINARY	Date E80 first reported (disorders of porphyrin and bilirubin metabolism)		2404	Health-related outcomes		First occurrences		First occurrences	2404	Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases
131674	DATE	232120/15548(247668)	0.195986415948376	0.14454498606973	0.246871670470682	5.99149130914674e-14	LOGISTIC-BINARY	Date K80 first reported (cholelithiasis)		2411	Health-related outcomes		First occurrences		First occurrences	2411	Health-related outcomes > First occurrences > Digestive system disorders
1717	CAT-SIN	244625	0.0926347658820129	0.0638693771453922	0.121400154618634	2.76107211078144e-10	ORDERED-LOGISTIC	Skin colour		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100055	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
41272#J183	CAT-MUL	237686/9982(247668)	0.195563416104675	0.132417776477337	0.257812017613609	9.71342549934015e-10	LOGISTIC-BINARY	Operative procedures - OPCS4: J18.3 Total cholecystectomy NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#J183	CAT-MUL	238100/9568(247668)	0.197157385294719	0.132744234894105	0.260634340838439	1.50682412688365e-09	LOGISTIC-BINARY	Operative procedures - main OPCS4: J18.3 Total cholecystectomy NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20004#1455	CAT-MUL	238159/9501(247660)	0.176556878245132	0.111049944245458	0.241112994486251	1.02804528410771e-07	LOGISTIC-BINARY	Operation code: cholecystectomy/gall bladder removal		100000	UK Biobank Assessment Centre	100071	Verbal interview	100076	Operations	100076	UK Biobank Assessment Centre > Verbal interview > Operations
30690	CONTINUOUS	236072	-0.0352592922590776	-0.0484722285833834	-0.0220463559347718	1.69401461381107e-07	LINEAR	Cholesterol		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
20003#1140883656	CAT-MUL	247593/67(247660)	1.21273886115671	0.645879037010108	1.73434950499271	1.10345642251884e-05	LOGISTIC-BINARY	Treatment/medication code: hydroxyzine		100000	UK Biobank Assessment Centre	100071	Verbal interview	100075	Medications	100075	UK Biobank Assessment Centre > Verbal interview > Medications
41272#U162	CAT-MUL	246276/1392(247668)	0.322970315091351	0.164546380515853	0.47557250711375	4.64398877286355e-05	LOGISTIC-BINARY	Operative procedures - OPCS4: U16.2 Magnetic resonance cholangiopancreatography		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#X674	CAT-MUL	247570/98(247668)	0.971546054171093	0.473393212930286	1.42818392671019	6.0906555083525e-05	LOGISTIC-BINARY	Operative procedures - main OPCS4: X67.4 Preparation for simple radiotherapy with imaging and dosimetry		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#J439	CAT-MUL	247032/636(247668)	0.442180645274129	0.215695281535632	0.657288555209936	8.50338785373433e-05	LOGISTIC-BINARY	Operative procedures - main OPCS4: J43.9 Unspecified diagnostic endoscopic retrograde examination of bile duct and pancreatic duct		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#X674	CAT-MUL	247567/101(247668)	0.926041945078557	0.429567260511827	1.38036638683312	0.000124310976611985	LOGISTIC-BINARY	Operative procedures - OPCS4: X67.4 Preparation for simple radiotherapy with imaging and dosimetry		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
5463	CAT-SIN	10678/4591(15269)	0.21348057759924	0.102561183423943	0.323415423818187	0.000150785734488662	LOGISTIC-BINARY	Leg pain in calf/calves		100000	UK Biobank Assessment Centre	100025	Touchscreen	100036	Health and medical history	100038	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Claudication and peripheral artery disease
41200#S352	CAT-MUL	247552/116(247668)	0.853581462461622	0.381941819515362	1.28566810850104	0.000199449685255734	LOGISTIC-BINARY	Operative procedures - main OPCS4: S35.2 Meshed split autograft of skin NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#J439	CAT-MUL	246026/1642(247668)	0.27492196883146	0.126020767521438	0.418607158833295	0.000228531274705552	LOGISTIC-BINARY	Operative procedures - OPCS4: J43.9 Unspecified diagnostic endoscopic retrograde examination of bile duct and pancreatic duct		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
131676	DATE	244926/2742(247668)	0.214216673352424	0.0966105393499275	0.328518487796657	0.000292186981124345	LOGISTIC-BINARY	Date K81 first reported (cholecystitis)		2411	Health-related outcomes		First occurrences		First occurrences	2411	Health-related outcomes > First occurrences > Digestive system disorders
40006#C448	CAT-MUL	247600/68(247668)	1.03383802924398	0.441014492248616	1.57091177521981	0.000303389733608142	LOGISTIC-BINARY	Type of cancer: ICD10: C44.8 Overlapping lesion of skin		100091	Health-related outcomes	100092	Cancer register	100092	Cancer register	100092	Health-related outcomes > Cancer register
41200#U162	CAT-MUL	246812/856(247668)	0.354628122615881	0.154274161202998	0.545803098921173	0.000379470843672146	LOGISTIC-BINARY	Operative procedures - main OPCS4: U16.2 Magnetic resonance cholangiopancreatography		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#J381	CAT-MUL	246406/1262(247668)	0.294861271247818	0.126220922874716	0.456854025571839	0.00046841260786605	LOGISTIC-BINARY	Operative procedures - OPCS4: J38.1 Endoscopic sphincterotomy of sphincter of Oddi and removal of calculus HFQ		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
100560	CAT-SIN	35836	-0.505830463691386	-0.797582446259594	-0.214078481123179	0.000679079308780633	ORDERED-LOGISTIC	Other drink intake		100089	Online follow-up	100090	Diet by 24-hour recall	100104	Hot/cold beverages yesterday	100104	Online follow-up > Diet by 24-hour recall > Hot/cold beverages yesterday
130194	DATE	247090/578(247668)	0.4028219353302	0.163091246624848	0.629738360818411	0.000703460532379485	LOGISTIC-BINARY	Date B15 first reported (acute hepatitis a)		2401	Health-related outcomes		First occurrences		First occurrences	2401	Health-related outcomes > First occurrences > Certain infectious and parasitic diseases
41200#U114	CAT-MUL	247516/152(247668)	0.70618614713015	0.276054423175842	1.10088403147239	0.000753431869785212	LOGISTIC-BINARY	Operative procedures - main OPCS4: U11.4 Computed tomography scan of cerebral vessels		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
2375	CAT-SIN	98123	-0.0879852238974816	-0.140080661107493	-0.0358897866874703	0.00093232731907427	ORDERED-LOGISTIC	Relative age of first facial hair		100000	UK Biobank Assessment Centre	100025	Touchscreen	100068	Sex-specific factors	100070	UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Male-specific factors
41245#1240	CAT-MUL	229504/17367(246871)	0.0838377668229066	0.0335597789051178	0.133562121227586	0.00101441717111198	LOGISTIC-BINARY	Main speciality of consultant (recoded): Ear, nose and throat (ENT)		100091	Health-related outcomes	2000	Hospital inpatient	2001	Summary Administration	2001	Health-related outcomes > Hospital inpatient > Summary Administration
1727	CAT-SIN	242234	-0.0404800473412818	-0.0646571363224872	-0.0163029583600764	0.00103213954655641	ORDERED-LOGISTIC	Ease of skin tanning		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100055	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
41200#E423	CAT-MUL	247547/121(247668)	0.759823453574696	0.28166096773863	1.19524792048439	0.00105291389148131	LOGISTIC-BINARY	Operative procedures - main OPCS4: E42.3 Temporary tracheostomy		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
30850	CONTINUOUS	212848	0.0142268154317295	0.00566741091974092	0.0227862199437182	0.00112325921981855	LINEAR	Testosterone		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
41272#M382	CAT-MUL	247225/443(247668)	0.434622172765164	0.162356453638222	0.690592931743859	0.0012348843173459	LOGISTIC-BINARY	Operative procedures - OPCS4: M38.2 Cystostomy and insertion of suprapubic tube into bladder		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
1538-0	CAT-SIN	155684/247201	-999	-999	-999	0.0012959874872188	MULTINOMIAL-LOGISTIC	Major dietary changes in the last 5 years		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100052	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Diet
30750	CONTINUOUS	235972	0.0209115480142258	0.00812292329200076	0.0337001727364509	0.00135133698217726	LINEAR	Glycated haemoglobin (HbA1c)		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
41200#L871	CAT-MUL	247458/210(247668)	0.593266586549449	0.214101353754573	0.943129800371647	0.00137439457611031	LOGISTIC-BINARY	Operative procedures - main OPCS4: L87.1 Stripping of long saphenous vein		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
6147#7	CAT-MUL	245849/804(246653)	-0.450518130855649	-0.738665935143433	-0.184355197156752	0.00141168508953361	LOGISTIC-BINARY	Reason for glasses/contact lenses: Other eye condition		100000	UK Biobank Assessment Centre	100025	Touchscreen	100036	Health and medical history	100041	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight
41272#J372	CAT-MUL	247188/480(247668)	0.415703732870341	0.15207652007071	0.663910495219022	0.00142888145459754	LOGISTIC-BINARY	Operative procedures - OPCS4: J37.2 Operative cholangiography through cystic duct		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
22601#41503307	CAT-MUL	63247/2736(65983)	-0.225908745148457	-0.368164755112483	-0.0886381777097838	0.00152639546012955	LOGISTIC-BINARY	Job coding: general office assistant/clerk, clerical officer, clerk-typist, office supervisor, press/newspaper corrector/reader		100089	Online follow-up	123	Work environment	130	Employment history	130	Online follow-up > Work environment > Employment history
22617#4150	CAT-MUL	63247/2736(65983)	-0.225908745148457	-0.368164755112483	-0.0886381777097838	0.00152639546012955	LOGISTIC-BINARY	Job code - historical: General office assistants/clerks		100089	Online follow-up	123	Work environment	130	Employment history	130	Online follow-up > Work environment > Employment history
41200#J381	CAT-MUL	246498/1170(247668)	0.278550315227877	0.102215010047288	0.447588322857891	0.00155677275343956	LOGISTIC-BINARY	Operative procedures - main OPCS4: J38.1 Endoscopic sphincterotomy of sphincter of Oddi and removal of calculus HFQ		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#W811	CAT-MUL	247307/361(247668)	0.467194392160302	0.167152302103575	0.747700336077406	0.00157263765007547	LOGISTIC-BINARY	Operative procedures - OPCS4: W81.1 Excision of lesion of joint NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#M341	CAT-MUL	247533/135(247668)	0.69538172164197	0.23838643417931	1.11279127886307	0.00174109004066411	LOGISTIC-BINARY	Operative procedures - main OPCS4: M34.1 Cystoprostatectomy		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20003#1141150944	CAT-MUL	246386/1274(247660)	-0.335612620919344	-0.552651248529784	-0.131079172010596	0.00178272175094665	LOGISTIC-BINARY	Treatment/medication code: nasonex 0.05% aqueous nasal spray		100000	UK Biobank Assessment Centre	100071	Verbal interview	100075	Medications	100075	UK Biobank Assessment Centre > Verbal interview > Medications
41210#J372	CAT-MUL	247192/476(247668)	0.408385011914635	0.142891393458413	0.658207747365027	0.00186130531120934	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: J37.2 Operative cholangiography through cystic duct		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41210#W281	CAT-MUL	245612/2056(247668)	0.211547289417502	0.0754687302660094	0.343198475268319	0.00194376099312192	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: W28.1 Application of internal fixation to bone NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20004#1542	CAT-MUL	247322/338(247660)	0.47196502793066	0.162385861770211	0.760944024961726	0.00195166158865551	LOGISTIC-BINARY	Operation code: laser treatment cervix		100000	UK Biobank Assessment Centre	100071	Verbal interview	100076	Operations	100076	UK Biobank Assessment Centre > Verbal interview > Operations
41272#M341	CAT-MUL	247532/136(247668)	0.686142945921306	0.229468544234698	1.10312547033933	0.00198671064233394	LOGISTIC-BINARY	Operative procedures - OPCS4: M34.1 Cystoprostatectomy		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
40011#8263	CAT-MUL	247363/305(247668)	-0.843991693366874	-1.42854036904753	-0.347092741486849	0.0020513671930623	LOGISTIC-BINARY	Histology of cancer tumour: Adenocarcinoma in tubulovillous adenoma		100091	Health-related outcomes	100092	Cancer register	100092	Cancer register	100092	Health-related outcomes > Cancer register
41210#X528	CAT-MUL	247571/97(247668)	0.7779797807103	0.247305614143122	1.25747902433071	0.00239157093067246	LOGISTIC-BINARY	Operative procedures - secondary OPCS4: X52.8 Other specified oxygen therapy		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
20004#1559	CAT-MUL	246986/674(247660)	-0.474025667486204	-0.794372284562115	-0.180732911435051	0.00240176750780455	LOGISTIC-BINARY	Operation code: nasal polyp surgery / nasal polypectomy		100000	UK Biobank Assessment Centre	100071	Verbal interview	100076	Operations	100076	UK Biobank Assessment Centre > Verbal interview > Operations
20084#483	CAT-MUL	35284/601(35885)	-0.506078290385852	-0.849307286970384	-0.19298666274968	0.00243819356957933	LOGISTIC-BINARY	Vitamin and/or mineral supplement use: Magnesium		100089	Online follow-up	100090	Diet by 24-hour recall	100112	Vitamin/mineral supplements yesterday	100112	Online follow-up > Diet by 24-hour recall > Vitamin/mineral supplements yesterday
22608#2	CAT-MUL	59235/6196(65431)	-0.140699281750825	-0.233191922468573	-0.0500952448388273	0.00258845604448427	LOGISTIC-BINARY	Workplace very hot		100089	Online follow-up	123	Work environment	130	Employment history	130	Online follow-up > Work environment > Employment history
41200#A702	CAT-MUL	247615/53(247668)	0.979685219688801	0.291649083870014	1.59154855323954	0.00285966342007574	LOGISTIC-BINARY	Operative procedures - main OPCS4: A70.2 Maintenance of neurostimulator in peripheral nerve		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#A702	CAT-MUL	247615/53(247668)	0.979685219688801	0.291649083870014	1.59154855323954	0.00285966342007574	LOGISTIC-BINARY	Operative procedures - OPCS4: A70.2 Maintenance of neurostimulator in peripheral nerve		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41272#C451	CAT-MUL	247609/59(247668)	0.936659286692457	0.278816682336657	1.52349369830922	0.00292357394584708	LOGISTIC-BINARY	Operative procedures - OPCS4: C45.1 Superficial keratectomy		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
30680	CONTINUOUS	215829	-0.0212317947603428	-0.0352246250357677	-0.0072389644849178	0.00294038559760382	LINEAR	Calcium		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
3761	INTEGER	53084	0.0414530152737677	0.0141253693360216	0.0687806612115139	0.00294925090863829	LINEAR	"Age hay fever, rhinitis or eczema diagnosed"		100000	UK Biobank Assessment Centre	100025	Touchscreen	100036	Health and medical history	100044	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions
20486	CAT-SIN	8661/2268(10929)	0.226120873409763	0.0755164265684768	0.373835443762167	0.00295508653264846	LOGISTIC-BINARY	Contemplated self-harm in past year		100089	Online follow-up	136	Mental health	146	Self-harm behaviours	146	Online follow-up > Mental health > Self-harm behaviours
5912-3	CAT-SIN	306/576	-999	-999	-999	0.00315922019034237	MULTINOMIAL-LOGISTIC	Which eye(s) affected by macular degeneration		100000	UK Biobank Assessment Centre	100025	Touchscreen	100036	Health and medical history	100041	UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight
22127	CAT-SIN	58588/8772(67360)	-0.116777705701378	-0.194998075620401	-0.0397942755984823	0.0031791318685737	LOGISTIC-BINARY	Doctor diagnosed asthma		100089	Online follow-up	123	Work environment	132	Medical information	132	Online follow-up > Work environment > Medical information
130202	DATE	247095/573(247668)	0.357808218834065	0.11265787934494	0.589367887318353	0.003216378176513	LOGISTIC-BINARY	Date B19 first reported (unspecified viral hepatitis)		2401	Health-related outcomes		First occurrences		First occurrences	2401	Health-related outcomes > First occurrences > Certain infectious and parasitic diseases
