varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
48	CONTINUOUS	235096	-0.0186577118378397	-0.0194656854902865	-0.017849738185393	0	LINEAR	Waist circumference		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
102	INTEGER	221211	-0.0204044039853167	-0.0213319627489327	-0.0194768452217007	0	LINEAR	"Pulse rate, automated reading"		100000	UK Biobank Assessment Centre	100006	Physical measures	100011	Blood pressure	100011	UK Biobank Assessment Centre > Physical measures > Blood pressure
21001	CONTINUOUS	235143	-0.0213785783223977	-0.0222813395242842	-0.0204758171205112	0	LINEAR	Body mass index (BMI)		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100010	UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures
23099	CONTINUOUS	231798	-0.0149205783155382	-0.0156066433885166	-0.0142345132425598	0	LINEAR	Body fat percentage		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23100	CONTINUOUS	231551	-0.0177175361164803	-0.0186005067749539	-0.0168345654580067	0	LINEAR	Whole body fat mass		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23104	CONTINUOUS	231926	-0.0213727012886189	-0.0222817526320645	-0.0204636499451733	0	LINEAR	Body mass index (BMI)		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23111	CONTINUOUS	231910	-0.0122238615769522	-0.0127945088821325	-0.0116532142717718	0	LINEAR	Leg fat percentage (right)		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23112	CONTINUOUS	231907	-0.0147257978432895	-0.0154416029060434	-0.0140099927805357	0	LINEAR	Leg fat mass (right)		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23115	CONTINUOUS	231895	-0.0119648089298254	-0.0125295507243534	-0.0114000671352975	0	LINEAR	Leg fat percentage (left)		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
23116	CONTINUOUS	231894	-0.0144591629467553	-0.0151679118373117	-0.0137504140561988	0	LINEAR	Leg fat mass (left)		100000	UK Biobank Assessment Centre	100006	Physical measures	100008	Anthropometry	100009	UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures
