varName	varType	n	beta	lower	upper	pvalue	resType	description	isTraitOfInterest	Cat1_ID	Cat1_Title	Cat2_ID	Cat2_Title	Cat3_ID	Cat3_Title	Category	Path
30660	CONTINUOUS	201829	0.16946542341432	0.168192146407329	0.17073870042131	0	LINEAR	Direct bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
30840	CONTINUOUS	235143	0.197235161796181	0.196061703552951	0.198408620039411	0	LINEAR	Total bilirubin		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
130818	DATE	246631/1037(247668)	0.471225933972777	0.451023983786116	0.492276813891882	0	LOGISTIC-BINARY	Date E80 first reported (disorders of porphyrin and bilirubin metabolism)		2404	Health-related outcomes		First occurrences		First occurrences	2404	Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases
131674	DATE	232120/15548(247668)	0.0225568524156057	0.0167949138750778	0.0282640351111746	1.25968874148503e-14	LOGISTIC-BINARY	Date K80 first reported (cholelithiasis)		2411	Health-related outcomes		First occurrences		First occurrences	2411	Health-related outcomes > First occurrences > Digestive system disorders
1717	CAT-SIN	244625	0.0113923355556668	0.00818664119012042	0.0145980299212132	3.28268056552705e-12	ORDERED-LOGISTIC	Skin colour		100000	UK Biobank Assessment Centre	100025	Touchscreen	100050	Lifestyle and environment	100055	UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Sun exposure
41272#J183	CAT-MUL	237686/9982(247668)	0.0221121449640548	0.0150307035326879	0.0291048593417988	7.31492054708245e-10	LOGISTIC-BINARY	Operative procedures - OPCS4: J18.3 Total cholecystectomy NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
41200#J183	CAT-MUL	238100/9568(247668)	0.0219663339454905	0.0147358545767463	0.0291039461235406	2.05528683066772e-09	LOGISTIC-BINARY	Operative procedures - main OPCS4: J18.3 Total cholecystectomy NEC		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
30690	CONTINUOUS	236072	-0.00426223584322307	-0.00573413300645334	-0.0027903386799928	1.38380001017458e-08	LINEAR	Cholesterol		100078	Biological samples	100079	Assay results	100080	Blood assays	17518	Biological samples > Assay results > Blood assays > Blood biochemistry
20004#1455	CAT-MUL	238159/9501(247660)	0.0201904756916448	0.0128552472647136	0.0274320674487301	5.63776015066839e-08	LOGISTIC-BINARY	Operation code: cholecystectomy/gall bladder removal		100000	UK Biobank Assessment Centre	100071	Verbal interview	100076	Operations	100076	UK Biobank Assessment Centre > Verbal interview > Operations
41272#U162	CAT-MUL	246276/1392(247668)	0.0406148690522048	0.0229748098151461	0.0576880137827792	4.46525710579232e-06	LOGISTIC-BINARY	Operative procedures - OPCS4: U16.2 Magnetic resonance cholangiopancreatography		100091	Health-related outcomes	2000	Hospital inpatient	2005	Summary Operations	2005	Health-related outcomes > Hospital inpatient > Summary Operations
